IP Group name,IP List
nesp_ipg_All_Internal_Network,"10.0.0.0/8,141.122.0.0/16,159.12.0.0/16,160.213.0.0/16,165.131.0.0/16,170.73.0.0/16,170.196.0.0/16,193.26.160.0/19,193.32.40.0/22,193.35.64.0/20,193.39.112.0/24,193.43.111.0/24,193.43.114.0/23,193.58.136.0/21,193.134.224.0/20,193.148.192.0/19,193.160.124.0/23,193.163.144.0/24,193.224.88.0/22,193.236.192.0/20,194.4.16.0/20,194.4.32.0/21,194.5.136.0/21,194.5.144.0/24,194.23.183.0/24,194.26.248.0/21,194.30.112.0/24,194.34.140.0/22,194.59.64.0/19,205.210.192.0/20,206.182.72.0/24,206.182.84.0/24"
nesp_ipg_Azure_Network,"10.118.0.0/18"
nesp_ipg_glbl-oci-ipl,"10.136.64.0/22,10.136.96.0/22,10.136.98.0/22,10.204.0.0/19,10.204.32.0/19,10.60.232.0/24,10.62.247.0/24,10.62.248.0/24,10.62.249.0/24,10.246.200.0/24"
nesp_ipg_zscaler-gw,"185.46.212.40"
nesp_ipg_glbl_global_protect_vpn,"10.253.0.0/18,10.253.64.0/18,10.253.128.0/18,10.129.0.0/16,10.94.0.0/16"
nesp_ipg_glbl_mse_toolchain,"10.60.235.0/24,10.60.236.0/24"
nesp_ipg_euwe_pr_Azure_Network,"10.118.0.0/23,10.118.4.0/24,19.118.6.0/24,10.118.8.0/23,10.118.12.0/23,10.118.20.0/24,10.118.22.0/24"
nesp_ipg_euwe_np_Azure_Network,"10.118.2.0/23,10.118.5.0/24,10.118.7.0/24,10.118.10.0/23,10.118.14.0/23,10.118.16.0/23,10.118.21.0/24,10.118.23.0/24"
nesp_ipg_usea_pr_Azure_Network,"10.118.32.0/20"
nesp_ipg_usea_np_Azure_Network,"10.118.32.0/20"
nesp_ipg_asse_pr_Azure_Network,"10.118.48.0/20"
nesp_ipg_asse_np_Azure_Network,"10.118.48.0/20"
nesp_ipg_glbl_nestle_vdi,"10.217.234.0/24,10.235.125.0/25,10.235.124.128/25,10.217.232.98/3"
nesp_ipg_usea_akamai,"104.71.131.0/24,104.97.78.0/24,168.143.242.0/24,168.143.243.0/24,184.25.157.0/24,184.51.101.0/24,2.18.240.0/24,23.192.164.0/24,23.198.14.0/24,23.201.57.0/24,23.205.127.0/24,23.220.77.0/24,23.220.96.0/24,23.223.149.0/24,23.48.94.0/24,23.56.168.0/24,23.59.176.0/24,23.63.251.0/24,72.246.216.0/24,72.247.190.0/24,96.17.103.0/24,96.7.74.0/24"
nesp_ipg_asse_akamai,"103.1.139.0/25,104.70.235.0/24,104.84.150.0/24,124.155.222.0/24,125.56.222.0/24,184.28.218.0/24,184.28.229.0/24,184.50.85.0/24,23.0.162.0/24,23.11.200.0/24,23.13.219.0/24,23.198.11.0/24,23.199.34.0/24,23.203.63.0/24,23.210.215.0/24,23.213.1.0/24,23.32.20.0/24,23.32.5.0/24,23.32.57.0/24,23.40.241.0/24,23.40.242.0/24,23.44.4.0/24,23.55.46.0/24,23.55.47.0/24,69.192.1.0/24,96.17.180.0/24"
nesp_ipg_euwe_akamai,"104.109.250.0/24,104.69.222.0/24,173.222.109.0/24,2.16.165.0/24,2.16.76.0/24,2.17.209.0/24,2.19.97.0/24,2.20.142.0/24,2.21.12.0/24,2.21.22.0/24,2.21.240.0/24,2.21.67.0/24,2.21.96.0/24,2.22.242.0/24,2.22.31.0/24,2.23.155.0/24,2.23.208.0/24,23.10.249.0/24,23.204.110.0/24,23.217.200.0/24,23.3.90.0/24,23.33.119.0/24,23.36.161.0/24,23.48.209.0/24,23.57.69.0/24,23.64.12.0/24,23.64.3.0/24,23.72.139.0/24,23.73.5.0/24,80.67.82.0/24,92.122.215.0/24,92.122.54.0/24,92.123.107.0/24,92.123.142.0/24,92.123.143.0/24,95.100.200.0/24,95.100.202.0/24,95.100.94.0/24,95.101.11.0/24,95.101.129.0/24,95.101.143.0/24,96.7.74.0/24"
nesp_ipg_glbl_Nespresso_Onprem,"10.56.0.0/16,10.136.0.0/16"
nesp_ipg_glbl_pr_eda,"10.56.29.0/25"
nesp_ipg_glbl_np_eda,"10.56.14.232"
nesp_ipg_euwe_pr_inventory,"10.118.4.36"
nesp_ipg_glbl_Audit_Log_Shipping,"10.56.34.30"
nesp_ipg_glbl_Chronyd_Sources,"10.56.6.222,10.56.6.223"
nesp_ipg_euwe_pci,"10.118.6.0/24,10.118.7.0/24,10.118.12.0/23,10.118.14.0/23,10.118.22.0/24,10.118.23.0/24,10.118.17.0/24"
nesp_ipg_euwe_nonpci,"10.118.4.0/24,10.118.5.0/24,10.118.8.0/23,10.118.10.0/23,10.118.20.0/24,10.118.21.0/24,10.118.16.0/24"